sampleID,num_mapped
rr0643.bam,3838380
rr0644.bam,12245900
rr0646.bam,16450239
rr0647.bam,15912085
rr0652.bam,9370555
rr0656.bam,11428568
rr0660.bam,13602903
rr0662.bam,5183773
rr0663.bam,2031803
rr0664.bam,26067
rr0670.bam,18513643
rr0672.bam,15362254
rr0673.bam,6005835
rr0675.bam,288368
rr0676.bam,1469235
rr0679.bam,3850679
rr0682.bam,3884483
rr0684.bam,629794
rr0688.bam,15266151
rr0690.bam,768160
rr0692.bam,6635870
rr0696.bam,6689567
rr0699.bam,4423750
rr0701.bam,18708026
rr0702.bam,7758912
rr0703.bam,6904048
rr0704.bam,6214233
rr0705.bam,156746
rr0706.bam,27375
rr0707.bam,12334629
rr0710.bam,340258
rr0711.bam,11061555
rr0714.bam,6874953
rr0716.bam,4622705
rr0717.bam,55626
rr0719.bam,18550385
rr0720.bam,5837221
rr0723.bam,194095
rr0726.bam,104904
rr0728.bam,4512399
rr0730.bam,27374268
rr0731.bam,441199
rr0732.bam,84567
rr0733.bam,181757
rr0736.bam,4309773
rr0739.bam,530790
rr0747.bam,6828569
rr0748.bam,6776762
rr0751.bam,6207335
rr0753.bam,781864
rr0754.bam,17152265
rr0761.bam,6063296
rr0766.bam,70201
rr0769.bam,711655
rr0770.bam,5244811
rr0772.bam,3246393
rr0774.bam,3456220
rr0776.bam,7459807
rr0778.bam,7992549
rr0781.bam,9600631
rr0782.bam,1824954
rr0783.bam,7073150
rr0784.bam,8327467
rr0787.bam,5727317
rr0788.bam,470950
rr0789.bam,5862928
rr0790.bam,5727183
rr0792.bam,4031396
rr0793.bam,9484933
rr0794.bam,4267020
rr0798.bam,7579919
rr0801.bam,6198162
rr0804.bam,40158
rr0805.bam,7376149
rr0810.bam,10057168
rr0815.bam,8961909
rr0816.bam,9229975
rr0817.bam,8180670
rr0820.bam,7279577
rr0821.bam,3982805
rr0822.bam,5854593
rr0823.bam,113095
rr0825.bam,996324
rr0827.bam,407203
rr0830.bam,18753308
rr0833.bam,7966990
rr0834.bam,3666781
rr0836.bam,74418
rr0838.bam,4327745
rr0841.bam,10394149
rr0842.bam,154268
rr0844.bam,5145907
rr0845.bam,11635408
rr0846.bam,7521766
rr0847.bam,8665670
rr0849.bam,8330581
rr0852.bam,4339405
rr0854.bam,4626288
rr0855.bam,6202555
rr0856.bam,1151740
rr0857.bam,13846116
rr0859.bam,1548266
rr0860.bam,117767
rr0861.bam,92508
rr0862.bam,19847874
rr0864.bam,5109329
rr0865.bam,536992
rr0867.bam,57400
rr0870.bam,6719796
rr0871.bam,5814151
rr0873.bam,17130798
rr0874.bam,30022027
rr0877.bam,6581551
rr0878.bam,28632191
rr0879.bam,6613082
rr0880.bam,12676538
rr0882.bam,10508548
rr0884.bam,47561
rr0891.bam,10830974
rr0892.bam,88445
rr0896.bam,3052003
rr0897.bam,62416463
rr0898.bam,6421224
rr0900.bam,12096957
rr0901.bam,22345243
rr0905.bam,1612806
rr0906.bam,2348098
rr0907.bam,17658724
rr0909.bam,12709618
rr0910.bam,3286015
rr0911.bam,641209
rr0912.bam,11153113
rr0915.bam,12893772
rr0916.bam,12346120
rr0917.bam,10972651
rr0919.bam,274359
rr0921.bam,16660289
rr0923.bam,13216113
rr0924.bam,213296
rr0926.bam,13392869
rr0927.bam,24886892
rr0928.bam,995206
rr0929.bam,2718301
rr0930.bam,12706043
rr0932.bam,20967541
rr0934.bam,15994463
rr0936.bam,13306600
rr0938.bam,7202300
rr0940.bam,9727092
rr0941.bam,15022624
rr0942.bam,19370208
rr0945.bam,20816379
rr0946.bam,10313400
rr0947.bam,11022311
rr0949.bam,6063983
rr0951.bam,19298470
rr0952.bam,796017
rr0953.bam,13323072
rr0954.bam,6185254
rr0956.bam,32299198
rr0959.bam,18566656
rr0960.bam,8934549
rr0961.bam,28615432
rr0963.bam,8804940
rr0966.bam,21862667
rr0967.bam,35692774
rr0968.bam,176258
rr0969.bam,3486168
rr0970.bam,10391363
rr0973.bam,7703608
rr0974.bam,8270390
rr0975.bam,5643064
rr0976.bam,11064342
rr0977.bam,12511206
rr0978.bam,7957409
rr0980.bam,8730441
rr0981.bam,8167329
rr0982.bam,9484786
rr0984.bam,14385155
rr0985.bam,7870229
rr0986.bam,120167
rr0987.bam,10913420
rr0989.bam,153512
rr0991.bam,8501811
ww0112.bam,21062596
ww0182.bam,13345127
ww0233.bam,10773258
ww0265.bam,698582
ww0327.bam,15948691
ww0341.bam,6062279
ww0363.bam,12122982
ww0406.bam,9581749
ww0467.bam,723589
